"SampleID","Shannon"
"BALF6263_S48_L001",3.31524786681423
"IR_S11_L001",4.97102876148131
"IR2_S12_L001",4.91108872086384
"IR3_S13_L001",4.90379348541628
"IR4_S14_L001",4.96720249766597
"IR5_S15_L001",4.93121213488602
"M_S21_L001",4.48289303779608
"M2_S22_L001",3.76117480978174
"M3_S23_L001",4.51952930084265
"M4_S24_L001",4.56218820831586
"M5_S25_L001",4.61787085578331
"NA1_S16_L001",5.13624584047663
"NA2_S17_L001",4.99436338799351
"NA3_S18_L001",4.4903414062384
"NA4_S19_L001",4.77145503332558
"NA5_S20_L001",4.91433565189767
"OK_S6_L001",4.7830274429555
"OK2_S7_L001",5.144188598245
"OK3_S8_L001",5.15651530189227
"OK4_S9_L001",5.03956183804257
"OK5_S10_L001",4.68532838647684
"W1_S1_L001",0
"W2_S2_L001",0
"W3_S3_L001",0
"W5_S26_L001",3.61934497892945
